config,model,runs,success_rate,nonempty_response_rate,mean_ttft_ms,p95_ttft_ms,mean_total_ms,mean_tokens_per_sec,mean_keyword_coverage,mean_response_chars,mean_eval_count,sample_response,dominant_done_reason,error_summary,mean_memory_before_mb,mean_memory_after_mb,mean_memory_delta_mb,mean_memory_percent,max_memory_percent,mean_swap_after_mb,max_swap_after_mb,mean_swap_delta_mb,warmup_enabled,warmup_success,warmup_ttft_ms,warmup_total_ms,warmup_tokens_per_sec,warmup_eval_count,warmup_response_chars,warmup_done_reason,warmup_error,hailo_cpu_utilization_mean,hailo_cpu_utilization_std,hailo_cpu_utilization_min,hailo_cpu_utilization_max,hailo_cpu_utilization_p50,hailo_cpu_utilization_p95,hailo_cpu_utilization_p99,hailo_ddr_noc_total_transactions_mean,hailo_ddr_noc_total_transactions_std,hailo_ddr_noc_total_transactions_min,hailo_ddr_noc_total_transactions_max,hailo_ddr_noc_total_transactions_p50,hailo_ddr_noc_total_transactions_p95,hailo_ddr_noc_total_transactions_p99,hailo_dsp_utilization_mean,hailo_dsp_utilization_std,hailo_dsp_utilization_min,hailo_dsp_utilization_max,hailo_dsp_utilization_p50,hailo_dsp_utilization_p95,hailo_dsp_utilization_p99,hailo_nnc_utilization_mean,hailo_nnc_utilization_std,hailo_nnc_utilization_min,hailo_nnc_utilization_max,hailo_nnc_utilization_p50,hailo_nnc_utilization_p95,hailo_nnc_utilization_p99,hailo_ram_percent_mean,hailo_ram_percent_std,hailo_ram_percent_min,hailo_ram_percent_max,hailo_ram_percent_p50,hailo_ram_percent_p95,hailo_ram_percent_p99,hailo_ram_total_mb_mean,hailo_ram_total_mb_std,hailo_ram_total_mb_min,hailo_ram_total_mb_max,hailo_ram_total_mb_p50,hailo_ram_total_mb_p95,hailo_ram_total_mb_p99,hailo_ram_used_mb_mean,hailo_ram_used_mb_std,hailo_ram_used_mb_min,hailo_ram_used_mb_max,hailo_ram_used_mb_p50,hailo_ram_used_mb_p95,hailo_ram_used_mb_p99,hailo_temp_c_mean,hailo_temp_c_std,hailo_temp_c_min,hailo_temp_c_max,hailo_temp_c_p50,hailo_temp_c_p95,hailo_temp_c_p99,hailo_ts0_temp_c_mean,hailo_ts0_temp_c_std,hailo_ts0_temp_c_min,hailo_ts0_temp_c_max,hailo_ts0_temp_c_p50,hailo_ts0_temp_c_p95,hailo_ts0_temp_c_p99,hailo_ts1_temp_c_mean,hailo_ts1_temp_c_std,hailo_ts1_temp_c_min,hailo_ts1_temp_c_max,hailo_ts1_temp_c_p50,hailo_ts1_temp_c_p95,hailo_ts1_temp_c_p99,hailo_telemetry_measurement_count
16gb,qwen2.5:1.5b,24,1.0,1.0,382.62,423.72,14357.1,7.283,0.521,149.62,102,Raspberry Pi 5の特徴を日本語で80字以内に要約します。 Raspberry Pi 5は、2019年発表の32ビットARMベースのコンピューティングボードです。主な特徴： - デバイス名：Raspberry Pi 5 - シリ…,length,,303.93,295.19,-8.74,2.57,3.8,0.0,0.0,0.0,True,True,28829.58,29246.18,7.201,3,7,stop,,4.003017661663202,2.4256582893277714,0.0,9.523809432983398,5.0,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,86.3801776445829,10.80889333133422,0.0,100.0,84.0,100.0,100.0,38.21015803614139,0.04155306840655359,38.03098545383148,38.28233727444189,38.209857945925016,38.27892966422058,38.28233727444189,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2759.494328425481,3.0009155284859705,2746.5546875,2764.70703125,2759.47265625,2764.4609375,2764.70703125,45.37692799323644,0.46350557343559934,43.48699951171875,45.940500259399414,45.58650016784668,45.81399917602539,45.864944801330566,45.590404058114075,0.4509459646200755,43.840999603271484,46.21900177001953,45.763999938964844,46.01599884033203,46.11800003051758,45.16345192835881,0.4876109947862727,43.132999420166016,45.8650016784668,45.35900115966797,45.6619987487793,45.7130012512207,312
16gb,qwen2:1.5b,24,1.0,1.0,326.58,324.92,9485.78,8.278,0.479,123,76,Raspberry Pi 5は、小型で高機能のコンピューターソフトウェアを提供するための新しい機器です。これにより、より多くの用途に適用できる可能性が増すことを期待できます。,stop,,321.13,312.15,-8.97,2.69,3.9,0.0,0.0,0.0,True,True,21136.44,21865.68,8.228,6,10,stop,,4.2048362620825905,2.5106479331100755,0.0,9.523809432983398,4.878048419952393,7.317072868347168,9.413472604751561,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.50858832794486,8.373732919488267,0.0,100.0,88.0,100.0,100.0,28.327835828954015,0.06034443764910141,28.124359382800655,28.40994957277763,28.347855342078095,28.382039622393517,28.38220188954691,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2045.8042134405339,4.3580069280848095,2031.109375,2051.734375,2047.25,2049.71875,2049.73046875,45.34777660740232,0.29368145486843716,44.19499969482422,45.76350021362305,45.434749603271484,45.637001037597656,45.71249961853027,45.600014732879345,0.28960271908460583,44.499000549316406,46.11800003051758,45.6619987487793,45.915000915527344,46.01599884033203,45.095538481925296,0.30999934310746313,43.840999603271484,45.459999084472656,45.207000732421875,45.459999084472656,45.459999084472656,206
16gb,qwen3:1.7b,24,1.0,1.0,636.57,634.51,15559.13,4.863,0.458,107.12,72.62,Raspberry Pi 5はARM Cortex-A72プロセッサ搭載で、より強力な性能を提供。1200Wの電力で、より高い効率を提供。Raspberry Pi 5は、より高画質なビデオや音声を再生するのに適しています。,stop,,299.33,290.08,-9.25,2.55,3.9,0.0,0.0,0.0,True,True,33558.2,36645.1,5.183,16,24,length,,2.700373178403053,2.844989959565649,0.0,9.756096839904785,2.5,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.30632678150425,9.862023797899106,0.0,100.0,96.0,100.0,100.0,46.43609850527724,0.1379666989551904,46.155755913420734,46.597338926862406,46.53735416915702,46.56980759983622,46.582237263786354,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3353.562430658284,9.963798708142729,3333.31640625,3365.20703125,3360.875,3363.21875,3364.11640625,44.890952443230084,0.3207094723585096,43.739999771118164,45.40950012207031,45.004499435424805,45.20750045776367,45.324250049591065,45.17094069260817,0.3504342968507522,43.99300003051758,45.763999938964844,45.30799865722656,45.51100158691406,45.6619987487793,44.61096419385199,0.30234704338751195,43.48699951171875,45.207000732421875,44.70100021362305,44.95399856567383,45.05500030517578,338
16gb,qwen2.5-coder:1.5b,24,1.0,1.0,324.79,324.9,13169.33,8.277,0.417,160,106.62,Raspberry Pi 5は、日本語で以下の特徴を言及できます。 1. デジタルデバイス： Raspberry Pi 5は、基本的なデジタルデバイスとして機能します。 2. エンジン： ARM Cortex-A73エンジンを使用していま…,length,,289.45,277.11,-12.34,2.47,4.2,0.0,0.0,0.0,True,True,19803.34,21626.99,8.774,16,27,length,,4.100355802716075,2.5272318530901297,0.0,16.279069900512695,4.878048419952393,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.53200640378299,9.399953449029024,0.0,100.0,88.0,100.0,100.0,28.38596070035548,0.053273803119159475,28.17449993320002,28.468744371358117,28.40994957277763,28.4653367611368,28.468744371358117,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2050.0019258085663,3.8473737120355636,2034.73046875,2055.98046875,2051.734375,2055.734375,2055.98046875,45.297692152170036,0.1799911555776565,44.52400016784668,45.637001037597656,45.333499908447266,45.51087474822998,45.56525049209595,45.56632872894927,0.17481704652239297,44.75199890136719,45.8650016784668,45.61199951171875,45.763999938964844,45.8650016784668,45.02905557539079,0.20464902359167003,44.19499969482422,45.459999084472656,45.05500030517578,45.30799865722656,45.409000396728516,286
16gb,llama3.2:1b,24,1.0,1.0,346.41,345.87,11367.04,10.144,0.312,179.5,111.88,Raspberry Pi 5： Raspberry Pi 5（ピースイ）は、32ビットのマイクロソフトを使用して、ハードウェアとソフトを組み合わせたハードウェアコンピュナントです。 64ビットのマイクロソフトを使用することで、より高速でよ…,length,,305.05,291.81,-13.24,2.57,4.3,0.0,0.0,0.0,True,True,17796.45,19282.48,10.767,16,20,length,,3.339780713865149,2.041366697607165,0.0,9.756096839904785,2.5641026496887207,7.142857551574707,7.317072868347168,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.59887855931332,6.38624485916206,0.0,100.0,88.46153259277344,92.30769348144531,100.0,22.974585935229292,0.03250705355599849,22.86365826970207,23.060975128231618,22.962587144222503,23.030360725290905,23.060975128231618,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,1659.1985703441296,2.3476225834176163,1651.1875,1665.4375,1658.33203125,1663.2265625,1665.4375,45.63225919128912,0.3420874481000138,44.27149963378906,46.09200096130371,45.73850059509277,45.9584997177124,46.041500091552734,45.786056858325296,0.3206050961360548,44.499000549316406,46.37099838256836,45.8650016784668,46.21900177001953,46.26900100708008,45.47846152425295,0.4043382316206327,44.04399871826172,45.965999603271484,45.6619987487793,45.81399917602539,45.89200126647949,247
16gb,deepseek_r1:1.5b,24,1.0,1.0,1487.22,1567.98,17951.92,7.774,0.042,362.25,128,"Okay, I need to summarize the features of the Raspberry Pi 5 in about 60 words. Let me list out what I know: it's a sin…",length,,281.94,273.87,-8.06,2.45,3.6,0.0,0.0,0.0,True,True,25961.4,27918.63,8.175,16,75,length,,3.4707170758578343,2.39518322414896,0.0,9.523809432983398,2.5641026496887207,7.317072868347168,9.302325248718262,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.19280204674885,7.672048811331718,0.0,100.0,88.0,100.0,100.0,34.3094929926362,0.06441577082142999,34.140684540213314,34.41626825573087,34.279044333008976,34.41626825573087,34.41626825573087,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2477.7927177056554,4.652033997733277,2465.6015625,2485.50390625,2475.59375,2485.50390625,2485.50390625,42.86182383461293,2.184904709139841,36.0,45.459999084472656,43.61400032043457,45.120998764038085,45.28299926757813,43.08944982612041,2.196164397815677,36.25299835205078,45.81399917602539,43.79100036621094,45.459999084472656,45.56100082397461,42.63419784310545,2.175362464371281,35.74700164794922,45.10599899291992,43.4370002746582,44.801998138427734,45.005001068115234,389
8gb,qwen2.5:1.5b,24,1.0,1.0,380.23,377.72,14340.61,7.287,0.521,149.62,102,Raspberry Pi 5の特徴を日本語で80字以内に要約します。 Raspberry Pi 5は、2019年発表の32ビットARMベースのコンピューティングボードです。主な特徴： - デバイス名：Raspberry Pi 5 - シリ…,length,,286.26,281.35,-4.9,4.68,6.1,0.0,0.0,0.0,True,True,28462.55,28878.1,7.219,3,7,stop,,3.5277732652866574,2.450768873441514,0.0,10.256410598754883,2.5641026496887207,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.97427664999027,9.303494910211423,0.0,100.0,84.0,100.0,100.0,38.13881902101416,0.05303584527769668,37.93308427128255,38.23160174448007,38.11828518235853,38.20417859555615,38.204557218914076,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2754.3423055667204,3.8301886662868094,2739.484375,2761.04296875,2752.859375,2759.0625,2759.08984375,45.81605797181942,0.19994082238570032,44.599998474121094,46.168500900268555,45.839500427246094,46.04199981689453,46.140499687194826,46.053685130030395,0.19560657692681693,45.15599822998047,46.573001861572266,46.06700134277344,46.31999969482422,46.42100143432617,45.57843081360845,0.25511114252698625,44.04399871826172,45.965999603271484,45.6619987487793,45.81399917602539,45.8650016784668,311
8gb,qwen2:1.5b,24,1.0,1.0,327.23,330.23,9480.52,8.276,0.479,123,76,Raspberry Pi 5は、小型で高機能のコンピューターソフトウェアを提供するための新しい機器です。これにより、より多くの用途に適用できる可能性が増すことを期待できます。,stop,,294.79,290.35,-4.44,4.82,6.0,0.0,0.0,0.0,True,True,20845.61,21573.0,8.249,6,10,stop,,3.763201022611081,2.4688562634927087,0.0,9.523809432983398,4.878048419952393,7.317072868347168,9.51273522377014,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.75354729809807,9.058698383207602,0.0,100.0,88.0,100.0,100.0,28.07387092952386,0.03129729469986924,27.964472147654458,28.13279727477725,28.06377964553281,28.13279727477725,28.13279727477725,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2027.463156098301,2.260255169257842,2019.5625,2031.71875,2026.734375,2031.71875,2031.71875,45.792017094139915,0.17586975478571013,45.005001068115234,46.2445011138916,45.81399917602539,46.04187488555908,46.16722583770752,46.07267979742254,0.18831464647906715,45.459999084472656,46.624000549316406,46.06700134277344,46.37099838256836,46.47200012207031,45.51135439085729,0.22725503006652387,44.499000549316406,45.965999603271484,45.56100082397461,45.81399917602539,45.8650016784668,206
8gb,qwen3:1.7b,24,1.0,1.0,636.61,633.65,15526.56,4.874,0.458,107.12,72.62,Raspberry Pi 5はARM Cortex-A72プロセッサ搭載で、より強力な性能を提供。1200Wの電力で、より高い効率を提供。Raspberry Pi 5は、より高画質なビデオや音声を再生するのに適しています。,stop,,289.57,285.7,-3.88,4.76,5.8,0.0,0.0,0.0,True,True,33060.84,36143.11,5.191,16,24,length,,2.8336294001570796,2.9259948719801425,0.0,11.627907752990723,2.5,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.88701206286513,10.639425423688307,0.0,100.0,92.0,100.0,100.0,46.39986670274979,0.035049564386368554,46.2086009163767,46.45421929756713,46.41376068732039,46.42670960616139,46.426904326745465,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3350.9458109235907,2.5312398353988583,3337.1328125,3354.87109375,3351.94921875,3352.884375,3352.8984375,45.60701187994077,0.2455422403798854,44.6254997253418,45.915000915527344,45.71299934387207,45.81400108337402,45.86481986999512,46.000101072498175,0.2434331269744613,44.95399856567383,46.37099838256836,46.06700134277344,46.21900177001953,46.26900100708008,45.213922687383366,0.26341648008118945,44.14500045776367,45.56100082397461,45.30799865722656,45.459999084472656,45.459999084472656,337
8gb,qwen2.5-coder:1.5b,24,1.0,1.0,324.3,336.48,13098.25,8.335,0.417,160,106.62,Raspberry Pi 5は、日本語で以下の特徴を言及できます。 1. デジタルデバイス： Raspberry Pi 5は、基本的なデジタルデバイスとして機能します。 2. エンジン： ARM Cortex-A73エンジンを使用していま…,length,,292.32,282.76,-9.56,4.73,7.5,0.0,0.0,0.0,True,True,19802.77,21614.28,8.832,16,27,length,,3.7539218093307927,2.3517372687564264,0.0,12.5,4.761904716491699,7.317072868347168,9.302325248718262,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.80010806338888,9.312009550699978,0.0,100.0,88.0,100.0,100.0,28.241582545685652,0.05321708635595525,28.068052680572244,28.326868790238873,28.242462825947385,28.29933746321268,28.304268762004387,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2039.5750990316901,3.843277691646474,2027.04296875,2045.734375,2039.638671875,2043.74609375,2044.1022265625,45.908361085703675,0.12406527883140224,45.459999084472656,46.2189998626709,45.91550064086914,46.09250068664551,46.19350051879883,46.131683389905476,0.151166449022457,45.51100158691406,46.67399978637695,46.11800003051758,46.37099838256836,46.4804999923706,45.68503878150188,0.1553947068441037,44.90399932861328,46.167999267578125,45.7130012512207,45.915000915527344,45.965999603271484,284
