config,model,prompt_id,run,category,expected_keywords,keyword_coverage,ttft_ms,total_ms,tokens_per_sec,done_reason,prompt,response
16GB,qwen2.5:1.5b,jp_summary_rpi,1,summary,"Raspberry Pi,小型,コンピュータ",0.333,376.730,17786.700,7.352,length,Raspberry Pi 5の特徴を日本語で80字以内に要約してください。,"Raspberry Pi 5の特徴を日本語で80字以内に要約します。

Raspberry Pi 5は、2019年発表の32ビットARMベースのコンピューティングボードです。主な特徴：

- デバイス名：Raspberry Pi 5
- シリーズ：Raspberry Pi
- バージン：4GB RAM（または6GB）
- パーソナル・コンピューティング：教育、開発、IoTデジタル化など
-"
16GB,qwen2.5:1.5b,jp_summary_rpi,2,summary,"Raspberry Pi,小型,コンピュータ",0.333,375.860,17803.580,7.345,length,Raspberry Pi 5の特徴を日本語で80字以内に要約してください。,"Raspberry Pi 5の特徴を日本語で80字以内に要約します。

Raspberry Pi 5は、2019年発表の32ビットARMベースのコンピューティングボードです。主な特徴：

- デバイス名：Raspberry Pi 5
- シリーズ：Raspberry Pi
- バージン：4GB RAM（または6GB）
- パーソナル・コンピューティング：教育、開発、IoTデジタル化など
-"
16GB,qwen2.5:1.5b,jp_summary_rpi,3,summary,"Raspberry Pi,小型,コンピュータ",0.333,376.120,17794.220,7.349,length,Raspberry Pi 5の特徴を日本語で80字以内に要約してください。,"Raspberry Pi 5の特徴を日本語で80字以内に要約します。

Raspberry Pi 5は、2019年発表の32ビットARMベースのコンピューティングボードです。主な特徴：

- デバイス名：Raspberry Pi 5
- シリーズ：Raspberry Pi
- バージン：4GB RAM（または6GB）
- パーソナル・コンピューティング：教育、開発、IoTデジタル化など
-"
16GB,qwen2.5:1.5b,jp_edge_ai,1,explanation,"低遅延,プライバシー,オフライン",0.000,376.270,17786.030,7.352,length,エッジAIの利点を3点、日本語で簡潔に説明してください。,"エッジAI（Edge AI）の利点を日本語で簡明に説明します。

1. **低消費電力**: エッジAIは、データが収集・処理する側近い環境で動作するので、消費電力が大幅に削減され、エネルギー効率が向上します。これもコスト面から㌢重要です。

2. **リアル-time応答**: エッジAIはリアル時間にデータを処理し、リアルタイムで結果を返すことが可能で、一般的なクラウドAIよりもᐈ"
16GB,qwen2.5:1.5b,jp_edge_ai,2,explanation,"低遅延,プライバシー,オフライン",0.000,375.510,17785.490,7.352,length,エッジAIの利点を3点、日本語で簡潔に説明してください。,"エッジAI（Edge AI）の利点を日本語で簡明に説明します。

1. **低消費電力**: エッジAIは、データが収集・処理する側近い環境で動作するので、消費電力が大幅に削減され、エネルギー効率が向上します。これもコスト面から㌢重要です。

2. **リアル-time応答**: エッジAIはリアル時間にデータを処理し、リアルタイムで結果を返すことが可能で、一般的なクラウドAIよりもᐈ"
16GB,qwen2.5:1.5b,jp_edge_ai,3,explanation,"低遅延,プライバシー,オフライン",0.000,375.900,17797.060,7.347,length,エッジAIの利点を3点、日本語で簡潔に説明してください。,"エッジAI（Edge AI）の利点を日本語で簡明に説明します。

1. **低消費電力**: エッジAIは、データが収集・処理する側近い環境で動作するので、消費電力が大幅に削減され、エネルギー効率が向上します。これもコスト面から㌢重要です。

2. **リアル-time応答**: エッジAIはリアル時間にデータを処理し、リアルタイムで結果を返すことが可能で、一般的なクラウドAIよりもᐈ"
16GB,qwen2.5:1.5b,jp_instruction_following,1,instruction,"用途,推論",0.500,375.980,17787.110,7.352,length,次の条件を守って答えてください。箇条書き2項目で、各項目は20字以内。AI HAT+ 2の用途を書いてください。,"AI HAT+ 2の主な用途は、以下の2項目です。

1. デジタルアートᐈ
   AI HAT+ 2は、様々な素材から生成するデジカルアートを㌢
   制作します。これらの作品は、人間の手による㌢
   色彩と形が表現され、より鮮明で美しいものにしています。

2. インターネーション
   AI HAT+ 2は、さまざまなアプリやウェブサイトで使用されており、ユーザーが簡単に操作できるようにされています。これによって、AI"
16GB,qwen2.5:1.5b,jp_instruction_following,2,instruction,"用途,推論",0.500,376.360,17797.980,7.347,length,次の条件を守って答えてください。箇条書き2項目で、各項目は20字以内。AI HAT+ 2の用途を書いてください。,"AI HAT+ 2の主な用途は、以下の2項目です。

1. デジタルアートᐈ
   AI HAT+ 2は、様々な素材から生成するデジカルアートを㌢
   制作します。これらの作品は、人間の手による㌢
   色彩と形が表現され、より鮮明で美しいものにしています。

2. インターネーション
   AI HAT+ 2は、さまざまなアプリやウェブサイトで使用されており、ユーザーが簡単に操作できるようにされています。これによって、AI"
16GB,qwen2.5:1.5b,jp_instruction_following,3,instruction,"用途,推論",0.500,376.980,17783.760,7.353,length,次の条件を守って答えてください。箇条書き2項目で、各項目は20字以内。AI HAT+ 2の用途を書いてください。,"AI HAT+ 2の主な用途は、以下の2項目です。

1. デジタルアートᐈ
   AI HAT+ 2は、様々な素材から生成するデジカルアートを㌢
   制作します。これらの作品は、人間の手による㌢
   色彩と形が表現され、より鮮明で美しいものにしています。

2. インターネーション
   AI HAT+ 2は、さまざまなアプリやウェブサイトで使用されており、ユーザーが簡単に操作できるようにされています。これによって、AI"
16GB,qwen2.5:1.5b,jp_fact_grounding,1,grounding,"人物,バックパック",1.000,376.170,3120.070,7.289,stop,『人物が1人、バックパックが1個検出された』という事実だけを使って、状況説明を1文で作ってください。推測は書かないでください。,「人物が1人、バックパックが1個検出されただした。」
16GB,qwen2.5:1.5b,jp_fact_grounding,2,grounding,"人物,バックパック",1.000,376.160,3119.260,7.291,stop,『人物が1人、バックパックが1個検出された』という事実だけを使って、状況説明を1文で作ってください。推測は書かないでください。,「人物が1人、バックパックが1個検出されただした。」
16GB,qwen2.5:1.5b,jp_fact_grounding,3,grounding,"人物,バックパック",1.000,376.190,3228.650,7.012,stop,『人物が1人、バックパックが1個検出された』という事実だけを使って、状況説明を1文で作ってください。推測は書かないでください。,「人物が1人、バックパックが1個検出されただした。」
16GB,qwen2.5:1.5b,jp_translation,1,translation,"デバイス,画像,遅延",0.667,376.470,4217.160,7.290,stop,次の英文を日本語に訳してください。The device processes images locally to reduce latency.,この問題は、画像をローカルで処理して遅延を減らすためのデviceです。
16GB,qwen2.5:1.5b,jp_translation,2,translation,"デバイス,画像,遅延",0.667,375.900,4218.640,7.286,stop,次の英文を日本語に訳してください。The device processes images locally to reduce latency.,この問題は、画像をローカルで処理して遅延を減らすためのデviceです。
16GB,qwen2.5:1.5b,jp_translation,3,translation,"デバイス,画像,遅延",0.667,426.170,4221.450,7.378,stop,次の英文を日本語に訳してください。The device processes images locally to reduce latency.,この問題は、画像をローカルで処理して遅延を減らすためのデviceです。
