timestamp,cycle_index,input_mode,stt_engine,answer_mode,llm_model,llm_api,vision_model,resolution,confidence,cycle_total_ms,detections_count,detections_summary,risk_count,risk_summary,command_text,response_chars,response_text,llm_ttft_ms,llm_total_ms,llm_tokens_per_sec,llm_eval_count,llm_done_reason,system_cpu_percent_mean,system_cpu_percent_std,system_cpu_percent_min,system_cpu_percent_max,system_cpu_percent_p50,system_cpu_percent_p95,system_cpu_percent_p99,system_memory_used_mb_mean,system_memory_used_mb_std,system_memory_used_mb_min,system_memory_used_mb_max,system_memory_used_mb_p50,system_memory_used_mb_p95,system_memory_used_mb_p99,system_memory_percent_mean,system_memory_percent_std,system_memory_percent_min,system_memory_percent_max,system_memory_percent_p50,system_memory_percent_p95,system_memory_percent_p99,system_swap_percent_mean,system_swap_percent_std,system_swap_percent_min,system_swap_percent_max,system_swap_percent_p50,system_swap_percent_p95,system_swap_percent_p99,system_swap_used_mb_mean,system_swap_used_mb_std,system_swap_used_mb_min,system_swap_used_mb_max,system_swap_used_mb_p50,system_swap_used_mb_p95,system_swap_used_mb_p99,system_measurement_count,system_cpu_temp_mean,system_cpu_temp_std,system_cpu_temp_min,system_cpu_temp_max,system_cpu_temp_p50,system_cpu_temp_p95,system_cpu_temp_p99,hailo_cpu_utilization_mean,hailo_cpu_utilization_std,hailo_cpu_utilization_min,hailo_cpu_utilization_max,hailo_cpu_utilization_p50,hailo_cpu_utilization_p95,hailo_cpu_utilization_p99,hailo_ddr_noc_total_transactions_mean,hailo_ddr_noc_total_transactions_std,hailo_ddr_noc_total_transactions_min,hailo_ddr_noc_total_transactions_max,hailo_ddr_noc_total_transactions_p50,hailo_ddr_noc_total_transactions_p95,hailo_ddr_noc_total_transactions_p99,hailo_dsp_utilization_mean,hailo_dsp_utilization_std,hailo_dsp_utilization_min,hailo_dsp_utilization_max,hailo_dsp_utilization_p50,hailo_dsp_utilization_p95,hailo_dsp_utilization_p99,hailo_nnc_utilization_mean,hailo_nnc_utilization_std,hailo_nnc_utilization_min,hailo_nnc_utilization_max,hailo_nnc_utilization_p50,hailo_nnc_utilization_p95,hailo_nnc_utilization_p99,hailo_ram_percent_mean,hailo_ram_percent_std,hailo_ram_percent_min,hailo_ram_percent_max,hailo_ram_percent_p50,hailo_ram_percent_p95,hailo_ram_percent_p99,hailo_ram_total_mb_mean,hailo_ram_total_mb_std,hailo_ram_total_mb_min,hailo_ram_total_mb_max,hailo_ram_total_mb_p50,hailo_ram_total_mb_p95,hailo_ram_total_mb_p99,hailo_ram_used_mb_mean,hailo_ram_used_mb_std,hailo_ram_used_mb_min,hailo_ram_used_mb_max,hailo_ram_used_mb_p50,hailo_ram_used_mb_p95,hailo_ram_used_mb_p99,hailo_temp_c_mean,hailo_temp_c_std,hailo_temp_c_min,hailo_temp_c_max,hailo_temp_c_p50,hailo_temp_c_p95,hailo_temp_c_p99,hailo_ts0_temp_c_mean,hailo_ts0_temp_c_std,hailo_ts0_temp_c_min,hailo_ts0_temp_c_max,hailo_ts0_temp_c_p50,hailo_ts0_temp_c_p95,hailo_ts0_temp_c_p99,hailo_ts1_temp_c_mean,hailo_ts1_temp_c_std,hailo_ts1_temp_c_min,hailo_ts1_temp_c_max,hailo_ts1_temp_c_p50,hailo_ts1_temp_c_p95,hailo_ts1_temp_c_p99,hailo_telemetry_measurement_count
20260705_165329,1,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,31868.64,5,"車 x1, ボトル x1, ナイフ x1, 時計 x1, はさみ x1",2,ナイフ(けが)、はさみ(けが),机の上に注意が必要なものはありますか。,100,"机の上に注意が必要なものは、**ナイフ**と**はさみ**です。  
ナイフは刃物なので、触れるとけがをする可能性があります。  
はさみは刃があるため、扱い方によってけがにつながる可能性があります。",1269.11,13648.15,4.847,60,stop,1.8396226415094339,4.7994236927082055,0.0,25.6,0.4,13.559999999999993,20.919999999999973,600.1241155660377,47.57426275830634,551.953125,736.578125,581.421875,683.91875,724.0006249999999,9.252830188679244,0.6138661195029004,8.6,10.9,9.0,10.42,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,51.75849056603774,0.707489305810009,50.15,54.0,51.8,52.57,53.428,1.6018266003086883,3.794335416940416,0.0,25.0,0.0,5.128205299377441,15.804877891540473,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.90711168972951,45.35272140814986,0.0,100.0,0.0,100.0,100.0,47.51604350143575,0.31442654842215945,47.375139482140604,49.41002367477768,47.45048553036749,48.176360596558965,48.77105024169692,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3431.5548349056603,22.707529140723945,3421.37890625,3568.3359375,3426.8203125,3479.2421875,3522.1899999999996,52.21278298575923,0.667253168114588,50.9739990234375,53.40199851989746,52.01099967956543,53.26019973754883,53.34921974182129,52.422754539633694,0.7043559561312109,51.17599868774414,53.856998443603516,52.1879997253418,53.543399047851565,53.72543930053711,52.002811431884766,0.6343643291039073,50.77199935913086,52.99700164794922,51.78300094604492,52.99700164794922,52.99700164794922,53
20260705_205512,1,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,64898.74,5,"車 x1, ボトル x1, ナイフ x1, 時計 x1, はさみ x1",2,ナイフ(けが)、はさみ(けが),机の上に注意が必要なものはありますか。,99,"机の上に注意が必要なものは**ナイフ**と**はさみ**です。  
ナイフは刃物なので、触れるとけがをする可能性があります。  
はさみは刃があるため、扱い方によってけがにつながる可能性があります。",32140.9,44294.81,4.854,59,stop,1.51588785046729,2.782258530309244,0.0,16.0,0.8,5.719999999999982,15.225999999999994,372.04453855140184,49.950730361588086,256.703125,495.484375,373.5,457.9,470.09218749999997,6.495327102803736,1.1687027057806803,4.3,8.9,6.8,8.0,8.575999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,46.02242990654206,0.6397003403631564,44.65,47.95,45.75,46.85,47.4,5.327117476507882,9.971938967072965,0.0,43.90243911743164,0.0,26.28048858642576,35.67142959594727,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.016534894426293,37.897271400470224,0.0,100.0,0.0,100.0,100.0,38.64519139918775,12.826716953094422,1.2177608971859089,43.77789304755563,43.744249657751524,43.77789304755563,43.77789304755563,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2790.911945093458,926.3309680871807,87.9453125,3161.58984375,3159.16015625,3161.58984375,3161.58984375,37.46569601397648,0.9557539583831242,34.98900032043457,39.21249961853027,37.26499938964844,39.12899951934814,39.18549839019775,37.661168071711174,0.9734369364446311,35.242000579833984,39.439998626708984,37.569000244140625,39.3390007019043,39.43699867248535,37.270223956241786,0.9438723255937155,34.736000061035156,38.98500061035156,37.0629997253418,38.933998107910156,38.933998107910156,107
20260705_205621,2,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,31172.15,5,"車 x1, ボトル x1, ナイフ x1, 時計 x1, はさみ x1",2,ナイフ(けが)、はさみ(けが),机の上に注意が必要なものはありますか。,99,"机の上に注意が必要なものは**ナイフ**と**はさみ**です。  
ナイフは刃物なので、触れるとけがをする可能性があります。  
はさみは刃があるため、扱い方によってけがにつながる可能性があります。",1248.06,13379.66,4.863,59,stop,1.7134615384615384,5.119083032602085,0.0,24.8,0.4,10.534999999999938,23.729000000000003,313.3674879807692,35.74574764089298,271.6875,435.390625,309.28125,374.9203124999998,432.45015625,5.088461538461539,0.4746066574437624,4.6,6.8,5.0,5.959999999999996,6.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,46.966346153846146,0.5741817885751532,45.75,47.95,46.85,47.95,47.95,1.7240342360276442,3.7071361936118232,0.0,22.5,0.0,7.317072868347168,14.756707162857087,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.550295903132515,45.34848979155497,0.0,100.0,0.0,100.0,100.0,43.39988339232715,0.2985033878048685,43.13764094930612,45.45719581805092,43.356241849456104,43.388830502763135,44.62295766504057,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3134.2904146634614,21.5575765188986,3115.3515625,3282.8671875,3131.138671875,3133.4921875,3222.6194531250003,39.05887464376596,0.6003598242935292,37.82149887084961,40.12300109863281,38.870999336242676,39.98297510147095,40.097245655059815,39.282634221590484,0.6160040777465683,38.02399826049805,40.4010009765625,38.98500061035156,40.221950721740725,40.349490089416506,38.835115065941444,0.5902157512897024,37.61899948120117,39.845001220703125,38.78249931335449,39.74399948120117,39.845001220703125,52
20260705_205656,3,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,31124.46,5,"車 x1, ボトル x1, ナイフ x1, 時計 x1, はさみ x1",2,ナイフ(けが)、はさみ(けが),机の上に注意が必要なものはありますか。,99,"机の上に注意が必要なものは**ナイフ**と**はさみ**です。  
ナイフは刃物なので、触れるとけがをする可能性があります。  
はさみは刃があるため、扱い方によってけがにつながる可能性があります。",1247.4,13384.83,4.861,59,stop,3.6115384615384616,14.492181630188288,0.0,100.0,0.2,20.74999999999997,61.852000000000146,329.06790865384613,35.97050844626584,269.734375,422.640625,323.46875,383.55390625,406.1851562500001,5.30576923076923,0.4683906413448163,4.5,6.7,5.2,6.0,6.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,47.52692307692307,0.5869954083870299,46.3,49.6,47.4,48.5,49.3195,1.8097376960974474,4.0736878279014475,0.0,25.0,0.0,7.317072868347168,17.107142810821564,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.08875744159405,44.83314893360827,0.0,100.0,0.0,100.0,100.0,43.47110931110146,0.34151703093614033,43.19665210409113,45.497383983042,43.42669283855554,43.43184211622331,45.11598802035696,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3139.434269831731,24.663973099446466,3119.61328125,3285.76953125,3136.2265625,3136.5984375,3258.225546875,39.60748034257155,0.654705322197491,38.605499267578125,40.679500579833984,39.30099964141846,40.58719959259033,40.666495914459226,39.820576667785645,0.6959518538988444,38.88399887084961,40.90700149536133,39.49049949645996,40.856998443603516,40.90700149536133,39.39438401735746,0.618337581987513,38.32699966430664,40.45199966430664,39.11149978637695,40.34545001983643,40.42599033355713,52
20260705_210815,1,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,34045.41,5,"車 x1, ボトル x1, ナイフ x1, 時計 x1, はさみ x1",2,ナイフ(けが)、はさみ(けが),机の上に注意が必要なものはありますか。,99,"机の上に注意が必要なものは**ナイフ**と**はさみ**です。  
ナイフは刃物なので、触れるとけがをする可能性があります。  
はさみは刃があるため、扱い方によってけがにつながる可能性があります。",1248.8,13350.57,4.875,59,stop,1.6196428571428572,3.865988121834218,0.0,20.7,0.4,12.0,16.41000000000002,326.9818638392857,48.29625709261377,267.96875,481.671875,313.1796875,410.015625,472.89765625000007,5.260714285714286,0.6261214428722992,4.5,7.3,5.1,6.35,7.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,48.24464285714286,0.6570821982873383,46.85,50.15,47.95,49.05,49.847500000000004,1.3273641765117645,3.760749657333815,0.0,25.0,0.0,7.317072868347168,15.274390077590994,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.79945046561105,45.909945394811174,0.0,100.0,0.0,100.0,100.0,43.383874593453164,0.3664658042529485,43.27107863844877,45.31905238145979,43.28184235962404,43.54709506637538,45.23182837760432,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3133.13427734375,26.46574524610402,3124.98828125,3272.890625,3125.765625,3144.921875,3266.59140625,39.29936572483608,0.6920664701771768,38.074501037597656,40.40099906921387,39.035499572753906,40.33175039291382,40.387249279022214,39.49541051047189,0.742057491787644,38.277000427246094,40.755001068115234,39.1870002746582,40.61649990081787,40.69945011138916,39.103320939200266,0.6499156462180665,37.87200164794922,40.14799880981445,38.933998107910156,40.047000885009766,40.14799880981445,56
20260705_210932,2,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,31115.61,5,"車 x1, ボトル x1, ナイフ x1, 時計 x1, はさみ x1",2,ナイフ(けが)、はさみ(けが),机の上に注意が必要なものはありますか。,99,"机の上に注意が必要なものは**ナイフ**と**はさみ**です。  
ナイフは刃物なので、触れるとけがをする可能性があります。  
はさみは刃があるため、扱い方によってけがにつながる可能性があります。",1245.98,13380.08,4.862,59,stop,1.6480769230769232,5.278603048906879,0.0,24.8,0.0,11.154999999999948,24.8,310.3233173076923,43.73379073206381,267.46875,438.203125,291.25,399.440625,423.5087500000001,5.06923076923077,0.569594478398874,4.5,6.9,4.8,6.145,6.747000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,48.489423076923075,0.6691941579287107,46.85,50.15,48.5,49.6,49.8695,1.6605931612161489,4.144166347098946,0.0,26.829269409179688,0.0,7.317072868347168,16.87804917335514,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.84615384615385,44.61432359481073,0.0,100.0,0.0,100.0,100.0,43.32345140238139,0.3260685432815148,43.088690358031656,45.32835569825449,43.27432398151669,43.28267262655891,44.87432733503786,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3128.7705829326924,23.548300821269326,3111.81640625,3273.5625,3125.22265625,3125.8255859375,3240.7730859375,40.068615253155045,0.6905839932366066,38.95949935913086,41.135000228881836,39.81950092315674,41.04497537612915,41.10924478530884,40.29432692894569,0.7366909296941514,38.98500061035156,41.362998962402344,40.02200126647949,41.28395099639893,41.336989631652834,39.84290357736441,0.6470400939563845,38.83300018310547,40.90700149536133,39.617000579833984,40.82894916534424,40.88149993896484,52
20260705_211006,3,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,31118.63,5,"車 x1, ボトル x1, ナイフ x1, 時計 x1, はさみ x1",2,ナイフ(けが)、はさみ(けが),机の上に注意が必要なものはありますか。,99,"机の上に注意が必要なものは**ナイフ**と**はさみ**です。  
ナイフは刃物なので、触れるとけがをする可能性があります。  
はさみは刃があるため、扱い方によってけがにつながる可能性があります。",1246.83,13381.18,4.862,59,stop,1.6461538461538463,5.328820822747444,0.0,25.5,0.0,10.794999999999952,25.347,325.77524038461536,44.909746183885176,266.359375,434.4375,314.8828125,411.27578125,423.65578125,5.271153846153847,0.5772402974037291,4.5,6.9,5.1,6.3,6.645000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,47.97115384615384,0.7312624853533826,46.85,49.6,47.95,49.05,49.3195,1.5727549424538245,3.9333911432092483,0.0,25.0,0.0,7.221254444122314,15.981707162857091,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.78106513390174,44.57804345125204,0.0,100.0,0.0,100.0,100.0,43.43913436048995,0.3156862085557076,43.10589067629163,45.345285571258806,43.377390668448726,43.46020100573182,44.91456688462752,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3137.1250751201924,22.798500368610085,3113.05859375,3274.78515625,3132.666015625,3138.646484375,3243.679140625,40.41108663265522,0.703530572170984,39.38949966430664,41.438499450683594,40.16100025177002,41.38750076293945,41.438499450683594,40.63678873502291,0.7327631510344778,39.59199905395508,41.71699905395508,40.35050010681152,41.66600036621094,41.71699905395508,40.18538453028752,0.6766337114904655,39.1870002746582,41.21099853515625,39.971500396728516,41.15999984741211,41.21099853515625,52
20260706_222408,1,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,48179.29,5,"はさみ x2, 車 x1, ボトル x1, 時計 x1",1,はさみ(けが),机の上に注意が必要なものはありますか。,148,"机の上に**はさみ**と**ボトル**、**時計**が置かれています。  
**はさみ**は刃があるため、**はさみ**は**刃**を扱うことで**けが**につながる可能性があります。  
**はさみ**は**刃**を扱うことで**けが**につながる可能性があるため、**はさみ**は**注意**",1249.3,20763.15,4.92,96,length,1.355,3.906049794869492,0.0,24.9,0.4,10.094999999999995,18.737999999999953,327.9173828125,59.56813480618664,269.515625,509.203125,300.109375,449.46640625,501.1549999999999,5.25,0.7563068160475614,4.5,7.8,4.9,6.705,7.720999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,39.995625,0.6619664714885485,38.6,41.9,39.975,40.82749999999999,41.4655,1.4111163318157196,3.697675091901256,0.0,26.829269409179688,0.0,7.317072868347168,13.157956027984511,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.3634614944458,46.1407913470439,0.0,100.0,0.0,100.0,100.0,43.39922303782502,0.24086282904239686,43.32051603118342,45.40754206911174,43.351400879379796,43.61205872123747,44.03542778760094,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3134.242724609375,17.394840661018403,3128.55859375,3279.28125,3130.7890625,3149.6134765625,3180.1887109374993,36.9175812959671,0.7634258034007206,34.98850059509277,38.4789981842041,36.810001373291016,38.10077381134033,38.45885370254516,37.109562683105466,0.7988666159979616,35.09000015258789,38.933998107910156,36.96200180053711,38.37799835205078,38.933998107910156,36.725599908828734,0.733803618469504,34.887001037597656,38.02399826049805,36.70899963378906,37.82354927062988,37.98370929718018,80
20260706_222505,2,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,45396.12,5,"はさみ x2, 車 x1, ボトル x1, 時計 x1",1,はさみ(けが),机の上に注意が必要なものはありますか。,148,"机の上に**はさみ**と**ボトル**、**時計**が置かれています。  
**はさみ**は刃があるため、**はさみ**は**刃**を扱うことで**けが**につながる可能性があります。  
**はさみ**は**刃**を扱うことで**けが**につながる可能性があるため、**はさみ**は**注意**",1247.26,20752.73,4.922,96,length,1.4080000000000001,4.646310651115212,0.0,24.7,0.4,8.849999999999968,22.924000000000014,308.03625,44.679614409146374,263.59375,444.859375,292.265625,409.4515625,419.1906250000002,5.034666666666667,0.5774641884038255,4.5,7.0,4.8,6.3,6.7040000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,42.45,0.6898792164816482,41.35,44.65,42.45,43.55,44.65,1.536090981165568,3.559812137299571,0.0,24.390243530273438,0.0,7.317072868347168,11.756097240448085,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.2584614054362,46.72948474581809,0.0,100.0,0.0,100.0,100.0,43.45937416443685,0.2648454877792973,43.16387413910514,45.44226723993849,43.43215583271987,43.516967464894854,44.6519959130313,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3138.5867708333335,19.126841107141747,3117.24609375,3281.7890625,3136.62109375,3142.74609375,3224.7165625000002,38.76303326924642,0.6244734781514468,37.0625,39.946001052856445,38.65599822998047,39.75150127410889,39.92750133514404,38.980133310953775,0.6385108371031804,37.2140007019043,40.19900131225586,38.83300018310547,39.99700164794922,40.19900131225586,38.54593322753906,0.6133529408289926,36.9109992980957,39.69300079345703,38.37799835205078,39.50600090026855,39.65600135803223,75
20260706_222935,1,trigger-only,,llm,qwen3:1.7b,generate,/usr/share/hailo-models/yolov8m_h10.hef,640x640,0.5,42343.71,5,"はさみ x2, 車 x1, ボトル x1, 時計 x1",1,はさみ(けが),机の上に注意が必要なものはありますか。,113,机の上に注意が必要なものは、はさみとボトルです。はさみは刃があるため、扱い方によってけがにつながる可能性があり、ボトルは液体を含むため、衝撃や軽微な衝撃で破裂する可能性があるため、ルール判定では注意対象として挙げられています。,1248.52,17676.21,4.87,80,stop,1.47,4.820146707903639,0.0,25.2,0.2,12.164999999999964,21.75000000000001,308.034375,46.84611778360176,267.15625,460.890625,288.375,419.79218749999995,435.7703125000001,5.060000000000002,0.5989037604538097,4.6,7.2,4.8,6.455,6.924000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,46.80285714285714,0.6077996447541458,45.75,49.05,46.85,47.7025,48.6705,1.2510050977979388,3.399513133007284,0.0,25.0,0.0,5.0,12.925000329017678,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.46593409946987,45.99158272068403,0.0,100.0,0.0,100.0,100.0,43.61684057970791,0.2855404065425251,43.36724897136147,45.635473330582,43.55482980068726,43.61357051021661,45.044115030103264,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3149.9588169642857,20.621404696759388,3131.93359375,3295.7421875,3145.48046875,3149.72265625,3253.0349609375003,40.24929291861398,0.6621159427763684,38.95949935913086,41.41300010681152,40.00925064086914,41.30302467346191,41.37815450668335,40.44480007716587,0.6876216113533233,38.98500061035156,41.6150016784668,40.173500061035156,41.513999938964844,41.58049957275391,40.053785760062084,0.6394530937002438,38.88399887084961,41.21099853515625,39.845001220703125,41.11454906463623,41.175809440612795,70
