model,label_en,label_ja,run,judgement,reason,ttft_ms,total_ms,tokens_per_sec,eval_count,prompt,raw_response,checked_judgement,prompt_echo_or_truncated
qwen3:1.7b,person,人,1,no,机の上には何も危険なものが置かれているではありません。,639.3,5169.9,4.86,22,検出結果は「人 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれているではありません。,no,no
qwen3:1.7b,person,人,2,no,机の上には何も危険なものが置かれているではありません。,634.0,5167.1,4.85,22,検出結果は「人 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれているではありません。,no,no
qwen3:1.7b,person,人,3,no,机の上には何も危険なものが置かれているではありません。,634.7,5168.0,4.85,22,検出結果は「人 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれているではありません。,no,no
qwen3:1.7b,bicycle,自転車,1,no,机の上には自転車x1が置かれているが、危険なものは存在しない。,634.4,7023.6,4.85,31,検出結果は「自転車 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には自転車x1が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,bicycle,自転車,2,no,机の上には自転車x1が置かれているが、危険なものは存在しない。,633.2,7019.9,4.85,31,検出結果は「自転車 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には自転車x1が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,bicycle,自転車,3,no,机の上には自転車x1が置かれているが、危険なものは存在しない。,634.1,7019.2,4.86,31,検出結果は「自転車 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には自転車x1が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,car,車,1,no,机の上には車 x1 は配置されており、危険なものは存在しない。,634.6,6402.6,4.85,28,検出結果は「車 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には車 x1 は配置されており、危険なものは存在しない。,no,no
qwen3:1.7b,car,車,2,no,机の上には車 x1 は配置されており、危険なものは存在しない。,634.4,6402.6,4.85,28,検出結果は「車 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には車 x1 は配置されており、危険なものは存在しない。,no,no
qwen3:1.7b,car,車,3,no,机の上には車 x1 は配置されており、危険なものは存在しない。,635.4,6403.8,4.85,28,検出結果は「車 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には車 x1 は配置されており、危険なものは存在しない。,no,no
qwen3:1.7b,motorcycle,オートバイ,1,no,机の上には危険なものはおまえに見えません。オートバイ x1 は機械的構造であり、危険な物とは言えない。,633.8,10108.5,4.86,46,検出結果は「オートバイ x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には危険なものはおまえに見えません。オートバイ x1 は機械的構造であり、危険な物とは言えない。,no,no
qwen3:1.7b,motorcycle,オートバイ,2,no,机の上には危険なものはおまえに見えません。オートバイ x1 は機械的構造であり、危険な物とは言えない。,633.7,10110.5,4.85,46,検出結果は「オートバイ x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には危険なものはおまえに見えません。オートバイ x1 は機械的構造であり、危険な物とは言えない。,no,no
qwen3:1.7b,motorcycle,オートバイ,3,no,机の上には危険なものはおまえに見えません。オートバイ x1 は機械的構造であり、危険な物とは言えない。,633.1,10110.5,4.85,46,検出結果は「オートバイ x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には危険なものはおまえに見えません。オートバイ x1 は機械的構造であり、危険な物とは言えない。,no,no
qwen3:1.7b,airplane,飛行機,1,no,机の上には飛行機x1が置かれているが、これは危険な物ではありません。机の上に危険なものは存在しない。,634.0,9288.5,4.85,42,検出結果は「飛行機 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には飛行機x1が置かれているが、これは危険な物ではありません。机の上に危険なものは存在しない。,no,no
qwen3:1.7b,airplane,飛行機,2,no,机の上には飛行機x1が置かれているが、これは危険な物ではありません。机の上に危険なものは存在しない。,634.8,9286.1,4.85,42,検出結果は「飛行機 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には飛行機x1が置かれているが、これは危険な物ではありません。机の上に危険なものは存在しない。,no,no
qwen3:1.7b,airplane,飛行機,3,no,机の上には飛行機x1が置かれているが、これは危険な物ではありません。机の上に危険なものは存在しない。,634.2,9286.7,4.85,42,検出結果は「飛行機 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には飛行機x1が置かれているが、これは危険な物ではありません。机の上に危険なものは存在しない。,no,no
qwen3:1.7b,bus,バス,1,no,机の上には何も危険なものが置かれていません。,634.8,5167.9,4.85,22,検出結果は「バス x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていません。,no,no
qwen3:1.7b,bus,バス,2,no,机の上には何も危険なものが置かれていません。,634.2,5169.2,4.85,22,検出結果は「バス x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていません。,no,no
qwen3:1.7b,bus,バス,3,no,机の上には何も危険なものが置かれていません。,634.7,5168.4,4.85,22,検出結果は「バス x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていません。,no,no
qwen3:1.7b,train,電車,1,no,机の上には電車x1が置かれているが、危険なものは存在しない。,634.6,6609.9,4.85,29,検出結果は「電車 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には電車x1が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,train,電車,2,no,机の上には電車x1が置かれているが、危険なものは存在しない。,634.4,6608.6,4.85,29,検出結果は「電車 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には電車x1が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,train,電車,3,no,机の上には電車x1が置かれているが、危険なものは存在しない。,634.3,6608.8,4.85,29,検出結果は「電車 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には電車x1が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,truck,トラック,1,yes,」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。 判定: no 理由: トラック x1は機械的な,842.6,20207.5,4.96,96,検出結果は「トラック x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,検出結果は「トラック x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。 判定: no 理由: トラック x1は機械的な,no,yes
qwen3:1.7b,truck,トラック,2,yes,」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。 判定: no 理由: トラック x1は機械的な,843.2,20207.9,4.96,96,検出結果は「トラック x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,検出結果は「トラック x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。 判定: no 理由: トラック x1は機械的な,no,yes
qwen3:1.7b,truck,トラック,3,yes,」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。 判定: no 理由: トラック x1は機械的な,843.5,20208.5,4.96,96,検出結果は「トラック x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,検出結果は「トラック x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。 判定: no 理由: トラック x1は機械的な,no,yes
qwen3:1.7b,boat,ボート,1,no,机の上には何も危険なものが置かれていない。,635.2,5167.7,4.85,22,検出結果は「ボート x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていない。,no,no
qwen3:1.7b,boat,ボート,2,no,机の上には何も危険なものが置かれていない。,633.7,5167.4,4.85,22,検出結果は「ボート x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていない。,no,no
qwen3:1.7b,boat,ボート,3,no,机の上には何も危険なものが置かれていない。,634.1,5166.2,4.85,22,検出結果は「ボート x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていない。,no,no
qwen3:1.7b,traffic light,信号機,1,no,机の上には何も危険なものが置かれている。,634.4,4962.4,4.85,21,検出結果は「信号機 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれている。,no,no
qwen3:1.7b,traffic light,信号機,2,no,机の上には何も危険なものが置かれている。,634.6,4961.7,4.85,21,検出結果は「信号機 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれている。,no,no
qwen3:1.7b,traffic light,信号機,3,no,机の上には何も危険なものが置かれている。,634.2,4962.3,4.85,21,検出結果は「信号機 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれている。,no,no
qwen3:1.7b,fire hydrant,消火栓,1,no,机の上には消火栓x1が置かれているが、危険なものは存在しない。,634.2,6815.7,4.85,30,検出結果は「消火栓 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には消火栓x1が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,fire hydrant,消火栓,2,no,机の上には消火栓x1が置かれているが、危険なものは存在しない。,634.7,6815.3,4.85,30,検出結果は「消火栓 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には消火栓x1が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,fire hydrant,消火栓,3,no,机の上には消火栓x1が置かれているが、危険なものは存在しない。,634.6,6815.6,4.85,30,検出結果は「消火栓 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には消火栓x1が置かれているが、危険なものは存在しない。,no,no
