config,model,runs,success_rate,nonempty_response_rate,mean_ttft_ms,p95_ttft_ms,mean_total_ms,mean_tokens_per_sec,mean_keyword_coverage,mean_response_chars,mean_eval_count,sample_response,dominant_done_reason,error_summary,mean_memory_before_mb,mean_memory_after_mb,mean_memory_delta_mb,mean_memory_percent,max_memory_percent,mean_swap_after_mb,max_swap_after_mb,mean_swap_delta_mb,hailo_cpu_utilization_mean,hailo_cpu_utilization_std,hailo_cpu_utilization_min,hailo_cpu_utilization_max,hailo_cpu_utilization_p50,hailo_cpu_utilization_p95,hailo_cpu_utilization_p99,hailo_ddr_noc_total_transactions_mean,hailo_ddr_noc_total_transactions_std,hailo_ddr_noc_total_transactions_min,hailo_ddr_noc_total_transactions_max,hailo_ddr_noc_total_transactions_p50,hailo_ddr_noc_total_transactions_p95,hailo_ddr_noc_total_transactions_p99,hailo_dsp_utilization_mean,hailo_dsp_utilization_std,hailo_dsp_utilization_min,hailo_dsp_utilization_max,hailo_dsp_utilization_p50,hailo_dsp_utilization_p95,hailo_dsp_utilization_p99,hailo_nnc_utilization_mean,hailo_nnc_utilization_std,hailo_nnc_utilization_min,hailo_nnc_utilization_max,hailo_nnc_utilization_p50,hailo_nnc_utilization_p95,hailo_nnc_utilization_p99,hailo_ram_percent_mean,hailo_ram_percent_std,hailo_ram_percent_min,hailo_ram_percent_max,hailo_ram_percent_p50,hailo_ram_percent_p95,hailo_ram_percent_p99,hailo_ram_total_mb_mean,hailo_ram_total_mb_std,hailo_ram_total_mb_min,hailo_ram_total_mb_max,hailo_ram_total_mb_p50,hailo_ram_total_mb_p95,hailo_ram_total_mb_p99,hailo_ram_used_mb_mean,hailo_ram_used_mb_std,hailo_ram_used_mb_min,hailo_ram_used_mb_max,hailo_ram_used_mb_p50,hailo_ram_used_mb_p95,hailo_ram_used_mb_p99,hailo_temp_c_mean,hailo_temp_c_std,hailo_temp_c_min,hailo_temp_c_max,hailo_temp_c_p50,hailo_temp_c_p95,hailo_temp_c_p99,hailo_ts0_temp_c_mean,hailo_ts0_temp_c_std,hailo_ts0_temp_c_min,hailo_ts0_temp_c_max,hailo_ts0_temp_c_p50,hailo_ts0_temp_c_p95,hailo_ts0_temp_c_p99,hailo_ts1_temp_c_mean,hailo_ts1_temp_c_std,hailo_ts1_temp_c_min,hailo_ts1_temp_c_max,hailo_ts1_temp_c_p50,hailo_ts1_temp_c_p95,hailo_ts1_temp_c_p99,hailo_telemetry_measurement_count
16GB,qwen2.5:1.5b,24,1.0,1.0,380.23,416.56,14274.41,7.324,0.521,149.62,102,Raspberry Pi 5の特徴を日本語で80字以内に要約します。 Raspberry Pi 5は、2019年発表の32ビットARMベースのコンピューティングボードです。主な特徴： - デバイス名：Raspberry Pi 5 - シリ…,length,,458.67,447.12,-11.56,3.65,5.3,0.0,0.0,0.0,3.4977310557519234,2.49178776064108,0.0,11.627907752990723,2.5641026496887207,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.40794042771863,10.58085643575654,0.0,100.0,86.30769348144531,100.0,100.0,38.159753862014966,0.09074391803708115,37.84362098071023,38.24755801456402,38.16815528750224,38.24047234886573,38.24755801456402,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2755.8541960685484,6.553422964793313,2733.0234375,2762.1953125,2756.4609375,2761.68359375,2762.1953125,59.6430031991774,0.7736668540310271,57.44899940490723,60.91400146484375,59.70000076293945,60.76250076293945,60.8129997253418,59.85162901109265,0.778274085041006,57.70199966430664,61.19200134277344,59.928001403808594,60.9900016784668,61.090999603271484,59.43437738726216,0.7719174300157766,57.19599914550781,60.63600158691406,59.47200012207031,60.53499984741211,60.584999084472656,310
16GB,qwen2:1.5b,24,1.0,1.0,328.98,358.56,9479.32,8.278,0.479,123,76,Raspberry Pi 5は、小型で高機能のコンピューターソフトウェアを提供するための新しい機器です。これにより、より多くの用途に適用できる可能性が増すことを期待できます。,stop,,474.41,464.85,-9.57,3.74,5.0,0.0,0.0,0.0,4.064347581955993,2.3841845821751466,0.0,11.627907752990723,4.878048419952393,7.317072868347168,9.51273522377014,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.48767726861158,9.087306530395347,0.0,100.0,88.0,100.0,100.0,28.190796754251537,0.12395300331405579,27.912763014772263,28.317457295341903,28.28851965298628,28.31713276103511,28.317240939137378,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2035.9074067050972,8.951745483829583,2015.828125,2045.0546875,2042.96484375,2045.03125,2045.0390625,59.78010190574868,0.1848642320856688,59.093000411987305,60.18050003051758,59.7760009765625,60.054375648498535,60.1542254447937,60.00258256856677,0.19970826506123815,59.32099914550781,60.584999084472656,59.97800064086914,60.31950092315674,60.43144817352295,59.55762124293059,0.1816469150226003,58.8650016784668,60.07899856567383,59.57400131225586,59.82699966430664,59.92545127868652,206
16GB,qwen3:1.7b,24,1.0,1.0,645.9,715.12,15541.42,4.873,0.458,107.12,72.62,Raspberry Pi 5はARM Cortex-A72プロセッサ搭載で、より強力な性能を提供。1200Wの電力で、より高い効率を提供。Raspberry Pi 5は、より高画質なビデオや音声を再生するのに適しています。,stop,,454.17,446.81,-7.35,3.63,4.7,0.0,0.0,0.0,2.646221132589731,2.8813343301853673,0.0,11.627907752990723,2.5,7.317072868347168,9.672473373413082,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.94407667392086,11.316004326442078,0.0,100.0,92.0,100.0,100.0,46.09949383064697,0.09938238285006631,45.85994289277981,46.20962860834821,46.14666895283056,46.18518035723655,46.18876537954557,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3329.253222366469,7.177283107826219,3311.953125,3337.20703125,3332.66015625,3335.44140625,3335.7003125,58.86715862942025,0.22874073542580475,58.182498931884766,59.421499252319336,58.94099998474121,59.168500900268555,59.24481903076172,59.07653102252179,0.23551498835613607,58.36000061035156,59.724998474121094,59.11800003051758,59.37099838256836,59.47200012207031,58.65778623631871,0.2340148480424336,57.90399932861328,59.11800003051758,58.7140007019043,58.96699905395508,59.016998291015625,337
16GB,qwen2.5-coder:1.5b,24,1.0,1.0,325.87,345.74,13155.44,8.3,0.417,160,106.62,Raspberry Pi 5は、日本語で以下の特徴を言及できます。 1. デジタルデバイス： Raspberry Pi 5は、基本的なデジタルデバイスとして機能します。 2. エンジン： ARM Cortex-A73エンジンを使用していま…,length,,447.44,438.75,-8.68,3.54,4.8,0.0,0.0,0.0,4.067305953042549,2.380639514906864,0.0,11.627907752990723,4.878048419952393,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.72199717739173,8.895925815020913,0.0,100.0,88.0,100.0,100.0,28.260332804617608,0.08303216749030226,28.031163947700215,28.4666889874151,28.221936031042787,28.340931943533192,28.42741600916917,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2040.929221491228,5.996489076272421,2024.37890625,2055.83203125,2038.15625,2046.75,2052.99578125,58.89804201628032,0.24288747858557383,58.25849914550781,59.37100028991699,58.91600036621094,59.24449920654297,59.345998764038086,59.10695780703896,0.2469786007016646,58.40999984741211,59.624000549316406,59.11800003051758,59.47200012207031,59.57400131225586,58.68912622552169,0.2499213021642124,57.95500183105469,59.32099914550781,58.7140007019043,59.06800079345703,59.11800003051758,285
16GB,llama3.2:1b,24,1.0,1.0,351.48,408.72,10375.53,10.126,0.271,165.5,101.5,Raspberry Pi 5は、 - 64ビットのCPUを使用 - 2TBのメモリーシップア blowing - 32ビットのFPUを使用 - 256GBのメモリーシップア - 1280x800x24の画質 - 1000Hzのサウ Nig…,stop,,436.33,426.5,-9.82,3.49,4.8,0.0,0.0,0.0,3.4505027601453993,1.9995645541697318,0.0,9.523809432983398,2.5641026496887207,7.142857551574707,7.317072868347168,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.8772647772895,7.621852010175495,0.0,100.0,88.0,92.30769348144531,92.30769348144531,22.92735185354464,0.093084679111076,22.630913082681065,23.02484364207544,22.973350865397773,22.99731231504925,23.00942826250282,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,1655.7873784722221,6.722470077913858,1634.37890625,1662.828125,1659.109375,1660.83984375,1661.71484375,58.49744877285428,0.8662237143618308,56.38649940490723,59.851999282836914,58.61249923706055,59.5989990234375,59.7504997253418,58.71342207166884,0.8747605531474496,56.689998626708984,60.180999755859375,58.814998626708984,59.82699966430664,60.105760650634764,58.281475474039716,0.8609981158071128,56.08300018310547,59.52299880981445,58.40999984741211,59.37099838256836,59.47200012207031,225
16GB,deepseek_r1:1.5b,24,1.0,1.0,1474.31,1472.12,18047.02,7.724,0.042,362.25,128,"Okay, I need to summarize the features of the Raspberry Pi 5 in about 60 words. Let me list out what I know: it's a sin…",length,,409.44,401.58,-7.85,3.33,4.4,0.0,0.0,0.0,3.625809051191715,2.6505053375847605,0.0,9.756096839904785,2.5641026496887207,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.91520761163034,8.242128616160988,0.0,100.0,88.0,100.0,100.0,34.32311681121421,0.0854926343716212,34.12332195479995,34.45245383093818,34.29413517827481,34.44596314480234,34.44904622071686,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2478.776614450128,6.17418120719359,2464.34765625,2488.1171875,2476.68359375,2487.6484375,2487.87109375,55.134546128685216,3.0815658832500006,46.2189998626709,58.055999755859375,56.285499572753906,57.929500579833984,58.00550079345703,55.35085433218485,3.067866316149424,46.31999969482422,58.36000061035156,56.4370002746582,58.15700149536133,58.26309928894043,54.91823792518557,3.096238668117885,46.01599884033203,57.854000091552734,56.13399887084961,57.726999282836914,57.803001403808594,391
8GB,qwen2.5:1.5b,24,1.0,1.0,379.42,398.63,14296.42,7.323,0.521,149.62,102,Raspberry Pi 5の特徴を日本語で80字以内に要約します。 Raspberry Pi 5は、2019年発表の32ビットARMベースのコンピューティングボードです。主な特徴： - デバイス名：Raspberry Pi 5 - シリ…,length,,433.81,428.99,-4.81,6.68,8.1,0.0,0.0,0.0,3.7436251963338543,2.3057338412857127,0.0,9.523809432983398,4.878048419952393,7.317072868347168,7.317072868347168,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.36674949892105,9.4194176524077,0.0,100.0,86.30769348144531,100.0,100.0,38.13137508169409,0.06937762294846217,37.90744606104599,38.30483831971281,38.1385144874819,38.25107109843504,38.292776461310375,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2753.804712701613,5.010373337499433,2737.6328125,2766.33203125,2754.3203125,2762.4490234375003,2765.4609375,61.844895104439026,0.2987385111168578,60.35799980163574,62.457000732421875,61.92600059509277,62.153499603271484,62.20450019836426,62.099764313236356,0.30197492823938216,60.78799819946289,62.76100158691406,62.15299987792969,62.43404960632324,62.507999420166016,61.590025895641695,0.3023067656333691,59.928001403808594,62.15299987792969,61.698001861572266,61.87804985046387,61.99740901947022,310
8GB,qwen2:1.5b,24,1.0,1.0,327.12,326.35,9452.38,8.308,0.479,123,76,Raspberry Pi 5は、小型で高機能のコンピューターソフトウェアを提供するための新しい機器です。これにより、より多くの用途に適用できる可能性が増すことを期待できます。,stop,,436.48,433.36,-3.12,6.75,7.6,0.0,0.0,0.0,3.817518067941433,2.27772065467782,0.0,9.523809432983398,4.878048419952393,7.317072868347168,9.222915153503434,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.89568459115377,9.483669686006339,0.0,100.0,88.0,100.0,100.0,28.335723563682723,0.05971039072601186,28.13301363098177,28.40535200343141,28.3336840106815,28.401944393210094,28.401944393210094,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2046.3738567073171,4.312216777555581,2031.734375,2051.40234375,2046.2265625,2051.15625,2051.15625,61.29523418705638,0.17365379725711053,60.45899963378906,61.647499084472656,61.31850051879883,61.49600028991699,61.646499176025394,61.545434328404866,0.17903353837537686,60.78799819946289,62.051998138427734,61.54600143432617,61.749000549316406,61.94900024414063,61.04503404570789,0.17972363416031878,60.130001068115234,61.49599838256836,61.090999603271484,61.28379898071289,61.39296051025391,205
8GB,qwen3:1.7b,24,1.0,1.0,642.25,707.87,15535.89,4.873,0.458,107.12,72.62,Raspberry Pi 5はARM Cortex-A72プロセッサ搭載で、より強力な性能を提供。1200Wの電力で、より高い効率を提供。Raspberry Pi 5は、より高画質なビデオや音声を再生するのに適しています。,stop,,439.64,432.29,-7.34,6.78,8.9,0.0,0.0,0.0,2.747434983975102,2.8830351876046136,0.0,10.0,2.5,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.85551237564766,10.447575264562804,0.0,100.0,92.0,100.0,100.0,46.60205623042864,0.06918050098171075,46.413814776371524,46.674253557572115,46.642232839301975,46.66576157654439,46.674253557572115,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3365.547709569733,4.9961374123628675,3351.953125,3370.76171875,3368.44921875,3370.1484375,3370.76171875,61.190091860400464,0.6431967069548227,59.851999282836914,62.00150108337402,61.47050094604492,61.90049934387207,61.95100021362305,61.439133233769354,0.6396987785109854,60.130001068115234,62.35599899291992,61.698001861572266,62.15299987792969,62.287000579833986,60.94105048703157,0.649761891200976,59.52299880981445,61.749000549316406,61.24300003051758,61.64799880981445,61.698001861572266,337
8GB,qwen2.5-coder:1.5b,24,1.0,1.0,328.32,352.65,13146.61,8.31,0.417,160,106.62,Raspberry Pi 5は、日本語で以下の特徴を言及できます。 1. デジタルデバイス： Raspberry Pi 5は、基本的なデジタルデバイスとして機能します。 2. エンジン： ARM Cortex-A73エンジンを使用していま…,length,,445.84,437.45,-8.39,6.84,9.1,0.0,0.0,0.0,3.936738369757669,2.3362117962628,0.0,9.523809432983398,4.878048419952393,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.15708486992015,7.199500905717085,0.0,100.0,88.0,100.0,100.0,28.270755100519235,0.11523243237566393,28.023699658644,28.489785012248465,28.267046299686875,28.48948211356213,28.489785012248465,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2041.681907894737,8.321955729430643,2023.83984375,2057.5,2041.4140625,2057.478125,2057.5,61.5637508392334,0.33444292664781056,60.58500099182129,62.07749938964844,61.62249946594238,61.97649955749512,62.05649971008301,61.81054722300747,0.3328051461852144,60.8380012512207,62.40599822998047,61.849998474121094,62.20399856567383,62.35599899291992,61.316954455459324,0.34155111401704785,60.180999755859375,61.849998474121094,61.39500045776367,61.749000549316406,61.79899978637695,285
